step    value
1	-47564
2	-56496
3	-64678
4	-72269
5	-79328
6	-85566
7	-91292
8	-96375
9	-101098
10	-105615
11	-109447
12	-113041
13	-116215
14	-119227
15	-122124
16	-124641
17	-126939
18	-129235
19	-131386
20	-133295
21	-135001
22	-136490
23	-138080
24	-139684
25	-140788
26	-141771
27	-142627
28	-143748
29	-144804
30	-145814
31	-146342
32	-147136
33	-147696
34	-148007
35	-148715
36	-149216
37	-149601
38	-149912
39	-150422
40	-150777
41	-151284
42	-151453
43	-151800
44	-152109
45	-152449
46	-152345
47	-152391
48	-152417
49	-152374
50	-152604
51	-152650
52	-152891
53	-153121
54	-153533
55	-153624
56	-153941
57	-153795
58	-153985
59	-153819
60	-153818
61	-153740
62	-153985
63	-154058
64	-154219
65	-154108
66	-154086
67	-153998
68	-154392
69	-154694
70	-154864
71	-154869
72	-154866
73	-154730
74	-154431
75	-154357
76	-154437
77	-154336
78	-154241
79	-154323
80	-154254
81	-154172
82	-154030
83	-153853
84	-153874
85	-153860
86	-153918
87	-154023
88	-153995
89	-154028
90	-153804
91	-154090
92	-154081
93	-154062
94	-153990
95	-154091
96	-154203
97	-154247
98	-154107
99	-154157
100	-154261
