step    value
1	-41414
2	-41182
3	-41014
4	-40800
5	-40663
6	-40516
7	-40411
8	-40267
9	-40141
10	-40038
11	-39936
12	-39857
13	-39811
14	-39766
15	-39755
16	-39695
17	-39665
18	-39611
19	-39595
20	-39562
21	-39544
22	-39475
23	-39451
24	-39463
25	-39459
26	-39444
27	-39416
28	-39411
29	-39401
30	-39399
31	-39361
32	-39360
33	-39352
34	-39340
35	-39314
36	-39301
37	-39304
38	-39315
39	-39318
40	-39274
41	-39251
42	-39253
43	-39268
44	-39262
45	-39242
46	-39243
47	-39254
48	-39238
49	-39213
50	-39185
51	-39174
52	-39193
53	-39160
54	-39169
55	-39180
56	-39181
57	-39185
58	-39181
59	-39141
60	-39147
61	-39155
62	-39127
63	-39141
64	-39122
65	-39105
66	-39089
67	-39086
68	-39096
69	-39093
70	-39093
71	-39096
72	-39104
73	-39095
74	-39050
75	-39049
76	-39040
77	-39046
78	-39037
79	-39028
80	-39011
81	-39033
82	-39006
83	-39002
84	-39019
85	-39018
86	-38996
87	-38980
88	-38980
89	-38977
90	-38964
91	-38967
92	-38965
93	-38954
94	-38944
95	-38940
96	-38952
97	-38970
98	-38988
99	-38958
100	-38967
